Seed,Model,Exact Match Rate (%),VBS Match Rate (%),Precision (%),Recall (%),F1-Score (%),Mean Solution Cost,Gap to BKS (%),Cost Gain vs SBS (%),SBS Solver,Strategy
11,Gradient Boosting Classifier,21.679055531263664,22.89462177525142,19.979774099535046,21.679055531263664,20.395455421100493,25747.643688966626,4.4692562836813945,0.5877251456594274,PCI + GLS,Gradient Boosting Classifier
11,Random Forest Classifier,22.9951902055094,24.55618714473109,19.961753169485764,22.9951902055094,18.667954113779526,25752.021337997376,4.469913804658302,0.5708229369013014,PCI + GLS,Random Forest Classifier
11,Multi-Layer Perceptron (MLP),18.5002186270223,20.013117621337997,17.556487879432982,18.5002186270223,17.866800435994985,25766.380330855558,4.576434827678044,0.5153825182791955,PCI + GLS,Multi-Layer Perceptron (MLP)
11,Gradient Boosting Regressor,19.20419763882816,20.507214691735896,26.597081990509757,19.20419763882816,8.45178534912678,25847.174260311906,4.719264398974101,0.20343520307231083,PCI + GLS,Gradient Boosting Regressor
11,LightGBM Ranker (LTR),25.749890686488854,27.16222125054657,20.542514484595475,25.749890686488854,18.071153406437496,25722.299285818397,4.376669124753928,0.6855804990357284,PCI + GLS,LightGBM Ranker (LTR)
11,Single Best Solver (SBS: PCI + GLS),20.59903804110188,22.08570179274158,4.243203682187624,20.59903804110188,7.0368781560952085,25899.863700626727,4.82315586884549,0.0,PCI + GLS,Single Best Solver (SBS)
11,Uniform Random Selection (1/9),11.228683865325754,11.976388281591605,16.0987019724231,11.228683865325754,12.910736654815308,26012.328887917218,5.825693013805237,-0.43423080750718057,PCI + GLS,Uniform Random Selection (1/9)
11,Virtual Best Solver (VBS / Upper Bound),100.0,100.0,100.0,100.0,100.0,25556.856413059326,3.3738314902534294,1.324359431123575,PCI + GLS,Virtual Best Solver (VBS / Upper Bound)
12,Gradient Boosting Classifier,23.621704074961865,24.423621704074964,21.62460417652416,23.621704074961865,21.742161428630133,21388.30448173168,4.739838163222021,0.7721997410617885,PCI + GLS,Gradient Boosting Classifier
12,Random Forest Classifier,24.26672477663979,25.36064502070168,23.22665273693991,24.26672477663979,19.09611509812893,21387.65541512312,4.716657281881557,0.7752109873176042,PCI + GLS,Random Forest Classifier
